filename	date	fastq_ftp	plant	is_enriched
SRR21452137_1.fastq.gz	2020-07-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/037/SRR21452137/SRR21452137_1.fastq.gz	ESC	0
SRR21452137_2.fastq.gz	2020-07-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/037/SRR21452137/SRR21452137_2.fastq.gz	ESC	0
SRR21452136_1.fastq.gz	2020-07-27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/036/SRR21452136/SRR21452136_1.fastq.gz	ESC	0
SRR21452136_2.fastq.gz	2020-07-27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/036/SRR21452136/SRR21452136_2.fastq.gz	ESC	0
SRR18341038_1.fastq.gz	2020-08-03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/038/SRR18341038/SRR18341038_1.fastq.gz	ESC	1
SRR18341038_2.fastq.gz	2020-08-03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/038/SRR18341038/SRR18341038_2.fastq.gz	ESC	1
SRR18340986_1.fastq.gz	2020-08-10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/086/SRR18340986/SRR18340986_1.fastq.gz	ESC	1
SRR18340986_2.fastq.gz	2020-08-10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/086/SRR18340986/SRR18340986_2.fastq.gz	ESC	1
SRR18341041_1.fastq.gz	2020-08-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/041/SRR18341041/SRR18341041_1.fastq.gz	ESC	1
SRR18341041_2.fastq.gz	2020-08-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/041/SRR18341041/SRR18341041_2.fastq.gz	ESC	1
SRR18341040_1.fastq.gz	2020-08-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/040/SRR18341040/SRR18341040_1.fastq.gz	ESC	1
SRR18341040_2.fastq.gz	2020-08-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/040/SRR18341040/SRR18341040_2.fastq.gz	ESC	1
SRR18341037_1.fastq.gz	2020-08-31	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18341037/SRR18341037_1.fastq.gz	ESC	1
SRR18341037_2.fastq.gz	2020-08-31	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18341037/SRR18341037_2.fastq.gz	ESC	1
SRR18341034_1.fastq.gz	2020-09-07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/034/SRR18341034/SRR18341034_1.fastq.gz	ESC	1
SRR18341034_2.fastq.gz	2020-09-07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/034/SRR18341034/SRR18341034_2.fastq.gz	ESC	1
SRR18341036_1.fastq.gz	2020-09-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/036/SRR18341036/SRR18341036_1.fastq.gz	ESC	1
SRR18341036_2.fastq.gz	2020-09-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/036/SRR18341036/SRR18341036_2.fastq.gz	ESC	1
SRR18341035_1.fastq.gz	2020-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/035/SRR18341035/SRR18341035_1.fastq.gz	ESC	1
SRR18341035_2.fastq.gz	2020-09-21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/035/SRR18341035/SRR18341035_2.fastq.gz	ESC	1
SRR18340978_1.fastq.gz	2020-10-05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/078/SRR18340978/SRR18340978_1.fastq.gz	ESC	1
SRR18340978_2.fastq.gz	2020-10-05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/078/SRR18340978/SRR18340978_2.fastq.gz	ESC	1
SRR18341039_1.fastq.gz	2020-10-12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/039/SRR18341039/SRR18341039_1.fastq.gz	ESC	1
SRR18341039_2.fastq.gz	2020-10-12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/039/SRR18341039/SRR18341039_2.fastq.gz	ESC	1
