Sample Name,Host Organism,Sample Type,Nucleotide Type,Collection Date,Rothman Location,is_enriched
SRR21452137,Human,Environmental,RNA,2020-07-20,ESC,0
SRR21452136,Human,Environmental,RNA,2020-07-27,ESC,0
SRR18341038,Human,Environmental,RNA,2020-08-03,ESC,1
SRR18340986,Human,Environmental,RNA,2020-08-10,ESC,1
SRR18341037,Human,Environmental,RNA,2020-08-31,ESC,1
SRR18341036,Human,Environmental,RNA,2020-09-14,ESC,1
SRR18341035,Human,Environmental,RNA,2020-09-21,ESC,1
SRR18340978,Human,Environmental,RNA,2020-10-05,ESC,1
SRR18341039,Human,Environmental,RNA,2020-10-12,ESC,1
SRR18341028,Human,Environmental,RNA,2020-10-19,ESC,1
SRR18341017,Human,Environmental,RNA,2020-10-26,ESC,1
SRR18341080,Human,Environmental,RNA,2020-11-02,ESC,1
SRR18340967,Human,Environmental,RNA,2020-11-16,ESC,1
SRR18341135,Human,Environmental,RNA,2020-11-23,ESC,1
SRR18341124,Human,Environmental,RNA,2020-11-30,ESC,1
SRR18341113,Human,Environmental,RNA,2020-12-14,ESC,1
SRR18341062,Human,Environmental,RNA,2020-12-21,ESC,1
SRR18340994,Human,Environmental,RNA,2021-01-04,ESC,1
SRR18341137,Human,Environmental,RNA,2021-01-11,ESC,1
SRR18341136,Human,Environmental,RNA,2021-01-18,ESC,1
SRR18341005,Human,Environmental,RNA,2021-01-25,ESC,1
SRR18341007,Human,Environmental,RNA,2021-02-08,ESC,1
SRR18341097,Human,Environmental,RNA,2021-02-15,ESC,1
SRR18341086,Human,Environmental,RNA,2021-02-22,ESC,1
SRR18341001,Human,Environmental,RNA,2021-03-08,ESC,1
SRR18341004,Human,Environmental,RNA,2021-03-17,ESC,1
SRR18341003,Human,Environmental,RNA,2021-03-22,ESC,1
SRR18341002,Human,Environmental,RNA,2021-03-29,ESC,1
SRR18340997,Human,Environmental,RNA,2021-04-05,ESC,1
SRR18341000,Human,Environmental,RNA,2021-04-12,ESC,1
SRR18340999,Human,Environmental,RNA,2021-04-19,ESC,1
SRR18340995,Human,Environmental,RNA,2021-05-24,ESC,1
SRR18340993,Human,Environmental,RNA,2021-05-31,ESC,1
SRR18340992,Human,Environmental,RNA,2021-06-14,ESC,1
SRR18340991,Human,Environmental,RNA,2021-06-24,ESC,1
SRR18340987,Human,Environmental,RNA,2021-07-05,ESC,1
SRR18340989,Human,Environmental,RNA,2021-07-12,ESC,1
SRR18340988,Human,Environmental,RNA,2021-07-19,ESC,1
SRR14530767,Human,Environmental,RNA,2020-08-11,HTP,0
SRR14530790,Human,Environmental,RNA,2020-08-11,HTP,1
SRR14530766,Human,Environmental,RNA,2020-08-18,HTP,0
SRR14530779,Human,Environmental,RNA,2020-08-18,HTP,1
SRR14530765,Human,Environmental,RNA,2020-08-25,HTP,0
SRR14530768,Human,Environmental,RNA,2020-08-25,HTP,1
SRR14530757,Human,Environmental,RNA,2020-09-01,HTP,1
SRR14530764,Human,Environmental,RNA,2020-09-01,HTP,0
SRR14530746,Human,Environmental,RNA,2020-09-08,HTP,1
SRR14530763,Human,Environmental,RNA,2020-09-08,HTP,0
SRR14530735,Human,Environmental,RNA,2020-09-15,HTP,1
SRR14530762,Human,Environmental,RNA,2020-09-15,HTP,0
SRR14530843,Human,Environmental,RNA,2020-09-22,HTP,1
SRR14530881,Human,Environmental,RNA,2020-09-22,HTP,0
SRR14530842,Human,Environmental,RNA,2020-09-29,HTP,1
SRR14530880,Human,Environmental,RNA,2020-09-29,HTP,0
