Run,fastq_ftp_1,fastq_ftp_2
SRR18341039,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/039/SRR18341039/SRR18341039_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/039/SRR18341039/SRR18341039_2.fastq.gz
SRR18341028,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/028/SRR18341028/SRR18341028_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/028/SRR18341028/SRR18341028_2.fastq.gz
SRR18341017,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/017/SRR18341017/SRR18341017_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/017/SRR18341017/SRR18341017_2.fastq.gz
SRR18340978,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/078/SRR18340978/SRR18340978_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/078/SRR18340978/SRR18340978_2.fastq.gz
SRR18340967,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/067/SRR18340967/SRR18340967_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/067/SRR18340967/SRR18340967_2.fastq.gz
SRR18341135,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/035/SRR18341135/SRR18341135_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/035/SRR18341135/SRR18341135_2.fastq.gz
SRR18341080,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/080/SRR18341080/SRR18341080_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/080/SRR18341080/SRR18341080_2.fastq.gz
SRR18341124,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/024/SRR18341124/SRR18341124_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/024/SRR18341124/SRR18341124_2.fastq.gz
SRR18341113,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/013/SRR18341113/SRR18341113_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/013/SRR18341113/SRR18341113_2.fastq.gz
SRR18341062,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/062/SRR18341062/SRR18341062_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/062/SRR18341062/SRR18341062_2.fastq.gz
SRR18341051,,
SRR18341108,,
SRR18341137,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18341137/SRR18341137_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18341137/SRR18341137_2.fastq.gz
SRR18341136,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/036/SRR18341136/SRR18341136_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/036/SRR18341136/SRR18341136_2.fastq.gz
SRR18341005,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18341005/SRR18341005_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18341005/SRR18341005_2.fastq.gz
SRR18340994,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18340994/SRR18340994_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18340994/SRR18340994_2.fastq.gz
SRR18341097,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18341097/SRR18341097_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18341097/SRR18341097_2.fastq.gz
SRR18341086,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/086/SRR18341086/SRR18341086_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/086/SRR18341086/SRR18341086_2.fastq.gz
SRR18341007,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18341007/SRR18341007_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18341007/SRR18341007_2.fastq.gz
SRR18341004,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18341004/SRR18341004_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18341004/SRR18341004_2.fastq.gz
SRR18341006,,
SRR18341003,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18341003/SRR18341003_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18341003/SRR18341003_2.fastq.gz
SRR18341002,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18341002/SRR18341002_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18341002/SRR18341002_2.fastq.gz
