Sample Name,Host Organism,Sample Type,Nucleotide Type,Collection Date,Rothman Location,is_enriched,Water Control,Collection Location
SRR14530726,Human,Environmental,RNA,2020-08,SB,0,No,California
SRR14530728,Human,Environmental,RNA,2020-10,SB,0,No,California
SRR14530731,Human,Environmental,RNA,2020-08,PL,0,No,California
SRR14530733,Human,Environmental,RNA,2020-10,PL,0,No,California
SRR14530737,Human,Environmental,RNA,2020-09,OC,0,No,California
SRR14530761,Human,Environmental,RNA,2020-10,JW,0,No,California
SRR14530765,Human,Environmental,RNA,2020-08,HTP,0,No,California
SRR14530767,Human,Environmental,RNA,2020-08,HTP,0,No,California
SRR14530781,Human,Environmental,RNA,2020-10,SJ,1,No,California
SRR14530784,Human,Environmental,RNA,2020-10,SJ,1,No,California
SRR14530785,Human,Environmental,RNA,2020-09,SB,1,No,California
SRR14530788,Human,Environmental,RNA,2020-08,SB,1,No,California
SRR14530789,Human,Environmental,RNA,2020-10,SB,1,No,California
SRR14530790,Human,Environmental,RNA,2020-08,HTP,1,No,California
SRR14530804,Human,Environmental,RNA,2020-08,OC,1,No,California
SRR14530813,Human,Environmental,RNA,2020-09,JWPC,1,No,California
SRR14530837,Human,Environmental,RNA,2020-09,JWPC,1,No,California
SRR14530842,Human,Environmental,RNA,2020-09,HTP,1,No,California
SRR14530852,Human,Environmental,RNA,2020-11,SJ,0,No,California
SRR14530867,Human,Environmental,RNA,2020-12,OC,0,No,California
SRR14530876,Human,Environmental,RNA,2020-09,JWPC,0,No,California
SRR14530878,Human,Environmental,RNA,2020-11,JWPC,0,No,California
SRR14530896,Human,Environmental,RNA,2020-09,SJ,0,No,California
SRR14530899,Human,Environmental,RNA,2020-08,SJ,0,No,California
SRR14530900,Human,Environmental,RNA,2020-10,SJ,0,No,California
SRR14530903,Human,Environmental,RNA,2020-10,SJ,0,No,California
SRR18340965,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18340974,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340988,Human,Environmental,RNA,2021-07,ESC,1,No,California
SRR18340989,Human,Environmental,RNA,2021-07,ESC,1,No,California
SRR18341003,Human,Environmental,RNA,2021-03,ESC,1,No,California
SRR18341023,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341028,Human,Environmental,RNA,2020-10,ESC,1,No,California
SRR18341030,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341036,Human,Environmental,RNA,2020-09,ESC,1,No,California
SRR18341037,Human,Environmental,RNA,2020-08,ESC,1,No,California
SRR18341038,Human,Environmental,RNA,2020-08,ESC,1,No,California
SRR18341050,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341053,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341055,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341058,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341063,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341072,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341076,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341077,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341088,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341114,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341121,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR18341123,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR18341128,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341132,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341134,Human,Environmental,RNA,2021-05,HTP,1,No,California
